"post_id","user","date","is_accepted_answer"
"12329","Srabutdotcom","2020-08-28T06:54:04.855Z","FALSE"
"12328","nikita-sharov","2020-08-28T06:24:53.199Z","FALSE"
"12326","bayre","2020-08-28T00:11:04.517Z","FALSE"
"12323","shancarter","2020-08-27T21:04:56.885Z","TRUE"
"12320","mootari","2020-08-27T19:54:19.451Z","FALSE"
"12319","harris","2020-08-27T19:30:57.659Z","FALSE"
"12318","harris","2020-08-27T19:28:44.294Z","FALSE"
"12317","mootari","2020-08-27T19:27:02.468Z","FALSE"
"12316","mbostock","2020-08-27T19:26:08.000Z","FALSE"
"12314","harris","2020-08-27T19:08:40.004Z","FALSE"
"12312","Cobus","2020-08-27T18:06:58.167Z","FALSE"
"12311","aaronkyle","2020-08-27T18:00:42.173Z","FALSE"
"12307","aaronkyle","2020-08-27T17:43:02.009Z","FALSE"
"12303","aaronkyle","2020-08-27T16:55:42.710Z","FALSE"
"12301","visnup","2020-08-27T16:33:40.489Z","FALSE"
"12300","aaronkyle","2020-08-27T13:43:55.013Z","FALSE"
"12299","mootari","2020-08-27T11:54:06.500Z","FALSE"
"12298","GordonSmith","2020-08-27T09:30:15.458Z","FALSE"
"12297","ILogre","2020-08-27T07:56:39.670Z","FALSE"
"12296","ILogre","2020-08-27T07:53:54.066Z","FALSE"
"12294","mootari","2020-08-27T07:23:17.656Z","FALSE"
"12293","GordonSmith","2020-08-27T05:49:27.106Z","FALSE"
"12291","mootari","2020-08-26T23:16:05.290Z","FALSE"
"12289","waynesutton","2020-08-26T20:34:34.271Z","FALSE"
"12288","kudakwashe","2020-08-26T19:20:00.214Z","FALSE"
"12284","theojolliffe","2020-08-26T17:35:30.845Z","FALSE"
"12282","mootari","2020-08-26T16:04:36.056Z","TRUE"
"12281","nikita-sharov","2020-08-26T16:03:08.709Z","FALSE"
"12280","GordonSmith","2020-08-26T15:11:32.763Z","FALSE"
"12279","mootari","2020-08-26T14:36:09.102Z","FALSE"
"12278","mpj","2020-08-26T14:35:48.721Z","FALSE"
"12277","Obalfour","2020-08-26T14:16:11.604Z","FALSE"
"12276","GordonSmith","2020-08-26T09:57:26.139Z","FALSE"
"12275","mootari","2020-08-26T09:04:17.506Z","FALSE"
"12273","GordonSmith","2020-08-26T08:39:52.442Z","FALSE"
"12272","mootari","2020-08-26T08:18:06.344Z","FALSE"
"12271","josesho","2020-08-26T07:59:01.737Z","FALSE"
"12270","GordonSmith","2020-08-26T07:48:49.759Z","FALSE"
"12269","GCA","2020-08-26T04:05:26.629Z","FALSE"
"12267","jrus","2020-08-26T01:30:16.064Z","FALSE"
"12261","waynesutton","2020-08-25T00:32:52.522Z","FALSE"
"12260","GCA","2020-08-24T23:44:08.972Z","FALSE"
"12258","mbostock","2020-08-24T17:25:02.750Z","TRUE"
"12254","GCA","2020-08-24T14:24:28.483Z","FALSE"
"12252","mcmcclur","2020-08-24T10:40:34.712Z","FALSE"
"12251","GCA","2020-08-24T10:20:13.962Z","FALSE"
"12248","tomlarkworthy","2020-08-23T14:52:50.492Z","FALSE"
"12246","mootari","2020-08-23T13:33:11.326Z","FALSE"
"12242","mcmcclur","2020-08-22T16:53:34.894Z","FALSE"
"12241","mootari","2020-08-22T16:47:54.626Z","FALSE"
"12240","mootari","2020-08-22T16:37:58.713Z","FALSE"
"12239","mcmcclur","2020-08-22T16:16:57.322Z","FALSE"
"12238","mbostock","2020-08-22T16:03:26.180Z","TRUE"
"12236","bgchen","2020-08-22T15:35:03.188Z","FALSE"
"12235","mootari","2020-08-22T15:12:17.096Z","FALSE"
"12234","mootari","2020-08-22T14:20:29.515Z","FALSE"
"12232","mcmcclur","2020-08-22T13:38:30.450Z","FALSE"
"12231","mcmcclur","2020-08-22T13:17:07.436Z","FALSE"
"12230","mootari","2020-08-22T11:56:01.383Z","FALSE"
"12229","j-pb","2020-08-22T11:45:20.955Z","FALSE"
"12228","mootari","2020-08-22T10:27:45.369Z","FALSE"
"12227","rockduck","2020-08-22T07:18:36.394Z","FALSE"
"12223","mbostock","2020-08-21T21:54:24.432Z","FALSE"
"12222","gordo","2020-08-21T19:38:46.594Z","FALSE"
"12220","mbostock","2020-08-21T14:41:32.469Z","FALSE"
"12219","mootari","2020-08-21T14:27:14.998Z","FALSE"
"12218","mootari","2020-08-21T13:45:13.178Z","FALSE"
